Назва,Наявне населення на 1 лютого 2021 року
Одеська область,2366594
Одеський район,1382011
м.Одеса,1015372
Березівський,106442
Білгород-Дністровський,198396
Болградський,146276
Ізмаїльський,207100
Подільський,223884
Роздільнянський,102485
